Report date,Previous report date,Period label,Zone key,Case classification,Net case change,Is negative revision,Is opening balance,Interval days
2018-08-05,,unknown - 5 August 2018,South Kivu | Mwenga,Confirmed,0,0,1,
2019-06-12,2019-06-02,2 Jun 2019 - 12 Jun 2019,North Kivu | Mutwanga,Confirmed,0,0,0,10
2019-06-16,2019-06-12,12 Jun 2019 - 16 Jun 2019,North Kivu | Mutwanga,Confirmed,3,0,0,4
2019-06-23,2019-06-16,16 Jun 2019 - 23 Jun 2019,North Kivu | Mutwanga,Confirmed,0,0,0,7
2019-06-30,2019-06-23,23 Jun 2019 - 30 Jun 2019,North Kivu | Mutwanga,Confirmed,0,0,0,7
2019-07-07,2019-06-30,30 Jun 2019 - 7 Jul 2019,North Kivu | Mutwanga,Confirmed,2,0,0,7
2019-07-14,2019-07-07,7 Jul 2019 - 14 Jul 2019,North Kivu | Mutwanga,Confirmed,1,0,0,7
2019-07-21,2019-07-14,14 Jul 2019 - 21 Jul 2019,North Kivu | Mutwanga,Confirmed,2,0,0,7
2019-07-28,2019-07-21,21 Jul 2019 - 28 Jul 2019,North Kivu | Mutwanga,Confirmed,1,0,0,7
2019-08-04,2019-07-28,28 Jul 2019 - 4 Aug 2019,North Kivu | Mutwanga,Confirmed,2,0,0,7
2019-08-11,2019-08-04,4 Aug 2019 - 11 Aug 2019,North Kivu | Mutwanga,Confirmed,2,0,0,7
2019-08-18,2019-08-11,11 Aug 2019 - 18 Aug 2019,North Kivu | Mutwanga,Confirmed,2,0,0,7
2019-08-25,2019-08-18,18 Aug 2019 - 25 Aug 2019,North Kivu | Mutwanga,Confirmed,5,0,0,7
2019-09-01,2019-08-25,25 Aug 2019 - 1 Sep 2019,North Kivu | Mutwanga,Confirmed,6,0,0,7
2019-09-08,2019-09-01,1 Sep 2019 - 8 Sep 2019,North Kivu | Mutwanga,Confirmed,1,0,0,7
2019-09-15,2019-09-08,8 Sep 2019 - 15 Sep 2019,North Kivu | Mutwanga,Confirmed,0,0,0,7
